block,model,K,definition,n_test_selected_model,n_test_selected_bench,k_local,overlap_at_k,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B1,logistic_regression,0.2,local,4955,4955,4955,0.33198789101917253,8904,15145,29.144204851752022,14.803565533179267,14.340639318572755,1.9687287354138465,16.79509352094177,30.694070080862534,13.898976559920767,2595,2242,2733,2105,-2.454454202369014
B1,logistic_regression,0.2,global,4977,4954,4955,0.33218970736629666,8904,15145,29.144204851752022,14.909210960713107,14.234993891038915,1.9547784875101166,16.783862613484445,30.682839173405213,13.898976559920767,2595,2258,2732,2105,-2.5488687224455298
B1,gradient_boosting,0.2,local,4955,4955,4955,0.3388496468213925,8904,15145,28.09973045822102,15.503466490590952,12.596263967630069,1.8124804846241798,16.79509352094177,30.694070080862534,13.898976559920767,2502,2348,2733,2105,-4.1988295533117
B1,gradient_boosting,0.2,global,4971,4954,4955,0.34026236125126136,8904,15145,28.13342318059299,15.576097722020469,12.557325458572523,1.80619200538398,16.783862613484445,30.682839173405213,13.898976559920767,2505,2359,2732,2105,-4.226537154911922
B2,logistic_regression,0.2,local,4955,4955,4955,0.37477295660948534,8904,15145,29.52605570530099,14.585671838890724,14.940383866410267,2.024319210759545,16.79509352094177,30.694070080862534,13.898976559920767,2629,2209,2733,2105,-1.8547096545315025
B2,logistic_regression,0.2,global,4968,4954,4955,0.37578203834510593,8904,15145,29.615902964959567,14.618686034995049,14.997216929964518,2.025893633262478,16.783862613484445,30.682839173405213,13.898976559920767,2637,2214,2732,2105,-1.786645683519927
B2,gradient_boosting,0.2,local,4955,4955,4955,0.3832492431886983,8904,15145,29.121743036837376,14.836579729283592,14.285163307553784,1.962833993292844,16.79509352094177,30.694070080862534,13.898976559920767,2593,2247,2733,2105,-2.5099302133879853
B2,gradient_boosting,0.2,global,4930,4954,4955,0.3812310797174571,8904,15145,28.91958670260557,14.790359854737536,14.129226847868035,1.9552997348703633,16.783862613484445,30.682839173405213,13.898976559920767,2575,2240,2732,2105,-2.65463576561641
B3,logistic_regression,0.2,local,4955,4955,4955,0.5753784056508577,8904,15145,33.88364779874214,11.957741828986464,21.925905969755675,2.8336159354607937,16.79509352094177,30.694070080862534,13.898976559920767,3017,1811,2733,2105,5.130812448813906
B3,logistic_regression,0.2,global,4999,4954,4955,0.5790110998990918,8904,15145,34.19811320754717,12.063387256520304,22.13472595102687,2.834868224019168,16.783862613484445,30.682839173405213,13.898976559920767,3045,1827,2732,2105,5.350863337542425
B3,gradient_boosting,0.2,local,4955,4955,4955,0.5794147325933401,8904,15145,33.95103324348607,11.9511389897656,21.999894253720473,2.8408198810640695,16.79509352094177,30.694070080862534,13.898976559920767,3023,1810,2733,2105,5.204800732778704
B3,gradient_boosting,0.2,global,4976,4954,4955,0.5806256306760847,8904,15145,34.07457322551662,12.017167381974248,22.057405843542377,2.8354912719804903,16.783862613484445,30.682839173405213,13.898976559920767,3034,1820,2732,2105,5.273543230057932
B4,logistic_regression,0.2,local,4955,4955,4955,0.5782038345105953,8904,15145,36.87106918238994,10.359854737537141,26.511214444852797,3.559033414705517,16.79509352094177,30.694070080862534,13.898976559920767,3283,1569,2733,2105,9.716120923911028
B4,logistic_regression,0.2,global,4988,4954,4955,0.5800201816347124,8904,15145,37.03953279424977,10.46550016507098,26.574032629178795,3.5392033070593873,16.783862613484445,30.682839173405213,13.898976559920767,3298,1585,2732,2105,9.79017001569435
B4,gradient_boosting,0.2,local,4955,4955,4955,0.58284561049445,8904,15145,35.82659478885894,10.874876196764609,24.95171859209433,3.2944370253628943,16.79509352094177,30.694070080862534,13.898976559920767,3190,1647,2733,2105,8.156625071152561
B4,gradient_boosting,0.2,global,4972,4954,4955,0.5842583249243188,8904,15145,35.916442048517524,10.934301749752393,24.98214029876513,3.284749485656992,16.783862613484445,30.682839173405213,13.898976559920767,3198,1656,2732,2105,8.198277685280686
B5,logistic_regression,0.2,local,4955,4955,4955,0.5735620585267407,8904,15145,33.95103324348607,11.957741828986464,21.99329141449961,2.8392512339734766,16.79509352094177,30.694070080862534,13.898976559920767,3023,1811,2733,2105,5.19819789355784
B5,logistic_regression,0.2,global,4975,4954,4955,0.5749747729566095,8904,15145,34.0633423180593,12.017167381974248,22.046174936085052,2.834556700038506,16.783862613484445,30.682839173405213,13.898976559920767,3033,1820,2732,2105,5.262312322600607
B5,gradient_boosting,0.2,local,4955,4955,4955,0.5782038345105953,8904,15145,33.84995507637017,12.036975899636843,21.81297917673333,2.8121643973210437,16.79509352094177,30.694070080862534,13.898976559920767,3014,1823,2733,2105,5.017885655791559
B5,gradient_boosting,0.2,global,4963,4954,4955,0.5788092835519677,8904,15145,33.894878706199464,12.05678441729944,21.838094288900024,2.811270197181768,16.783862613484445,30.682839173405213,13.898976559920767,3018,1826,2732,2105,5.054231675415579
B6,logistic_regression,0.2,local,4955,4955,4955,0.5743693239152371,8904,15145,36.882300089847256,10.340046219874546,26.54225386997271,3.5669376427888677,16.79509352094177,30.694070080862534,13.898976559920767,3284,1566,2733,2105,9.747160349030942
B6,logistic_regression,0.2,global,4974,4954,4955,0.575782038345106,8904,15145,36.983378256963164,10.406074612083195,26.57730364487997,3.5540181706961116,16.783862613484445,30.682839173405213,13.898976559920767,3293,1576,2732,2105,9.793441031395524
B6,gradient_boosting,0.2,local,4955,4955,4955,0.5806256306760847,8904,15145,35.68059299191375,10.95411026741499,24.72648272449876,3.2572789684299797,16.79509352094177,30.694070080862534,13.898976559920767,3177,1659,2733,2105,7.931389203556989
