block,model,K,mitigation,overlap_at_k,jaccard,pr_auc,roc_auc,rate_white_pct,rate_bp_pct,gap_pp,ratio,bench_gap_pp,D,zero_sum_value,white_p_g,white_q_g,white_net_realloc,white_fpr,white_fnr,bp_p_g,bp_q_g,bp_net_realloc,bp_fpr,bp_fnr,source,level,constraint_strength,tpr_white,tpr_bp,tpr_gap,tau_white,tau_bp,n_realised,n_target,target_tpr_gap,overlap_above_anchor,gap_above_anchor
B3,gradient_boosting,0.1,,0.4901090028259992,,,,,,10.748608761605766,2.7791003245302655,,-0.2767623366457261,1.3633538742396922e-13,,,,,,,,,,,E3_frontier,4,0.4,0.5314777998674619,0.4037610619469026,,,,2477.0,2477.0,0.1276962121078836,0.39410900282599914,11.138608761605767
B3,gradient_boosting,0.1,,0.4893015744852644,,,,,,10.088760134512826,2.6049818512310585,,-0.9366109637386656,3.8635761256955454e-14,,,,,,,,,,,E3_frontier,5,0.5,0.5235255135851558,0.4170353982300885,,,,2477.0,2477.0,0.106413510089903,0.39330157448526437,10.478760134512827
B3,gradient_boosting,0.1,,0.4876867178037949,,,,,,9.054402827177949,2.35771218631297,,-1.9709682710735432,-5.3734794391857577e-14,,,,,,,,,,,E3_frontier,6,0.5999999999999999,0.5129224652087475,0.4280973451327434,,,,2477.0,2477.0,0.0851308080719224,0.39168671780379494,9.44440282717795
B3,gradient_boosting,0.1,,0.4844570044408559,,,,,,8.394554200085011,2.21428389073818,,-2.630816898166481,3.1086244689504387e-15,,,,,,,,,,,E3_frontier,7,0.7,0.5009940357852882,0.4369469026548672,,,,2477.0,2477.0,0.0638481060539418,0.38845700444085585,8.784554200085012
B3,gradient_boosting,0.1,,0.4775938635446104,,,,,,7.788206813026636,2.0911414633051657,,-3.237164285224856,3.1530333899354446e-14,,,,,,,,,,,E3_frontier,8,0.7999999999999999,0.49039098740888,0.4480088495575221,,,,2477.0,2477.0,0.0425654040359612,0.38159386354461045,8.178206813026636
B3,gradient_boosting,0.1,,0.473960436011304,,,,,,6.807350745726322,1.9075468929931791,,-4.21802035252517,-5.3734794391857577e-14,,,,,,,,,,,E3_frontier,9,0.8999999999999999,0.4764744864148442,0.4557522123893805,,,,2477.0,2477.0,0.0212827020179806,0.377960436011304,7.197350745726322
B3,gradient_boosting,0.1,,0.4723455793298344,,,,,,6.218837105346134,1.8056825317405232,,-4.806533992905358,5.995204332975845e-14,,,,,,,,,,,E3_frontier,10,1.0,0.4665341285619616,0.4668141592920354,,,,2477.0,2477.0,0.0,0.37634557932983437,6.608837105346134
B4,logistic_regression,0.1,,0.4957610012111425,,,,,,16.767837528627876,5.378429299501192,,5.742466430376384,1.6564527527407338e-13,,,,,,,,,,,E3_frontier,0,0.0,0.5984095427435387,0.3174778761061947,,,,2477.0,2477.0,0.280931666637344,0.39976100121114255,17.157837528627876
B4,logistic_regression,0.1,,0.4901090028259992,,,,,,14.50295170049806,4.106749695955348,,3.477580602246567,5.1958437552457326e-14,,,,,,,,,,,E3_frontier,1,0.0999999999999999,0.584493041749503,0.331858407079646,,,,2477.0,2477.0,0.2528384999736096,0.39410900282599914,14.892951700498061
B4,logistic_regression,0.1,,0.4868792894630601,,,,,,13.57559687323231,3.7088592179855513,,2.5502257749808184,8.038014698286133e-14,,,,,,,,,,,E3_frontier,2,0.1999999999999999,0.5705765407554672,0.3451327433628318,,,,2477.0,2477.0,0.2247453333098752,0.39087928946306005,13.965596873232311
