block,model,K,level,constraint_strength,target_tpr_gap,overlap_at_k,gap_pp,ratio,D,tpr_white,tpr_bp,n_realised,n_target,zero_sum_value
B4,logistic_regression,0.1,3,0.30000000000000004,0.19665216664614082,0.48486071861122326,12.469904579184682,3.3003252722503293,1.44453348093319,0.5593108018555335,0.36283185840707965,2477,2477,-4.729550084903167e-14
B4,logistic_regression,0.1,4,0.4,0.16855899998240642,0.48041986273718207,11.506882258562559,2.9916769349249135,0.4815111603110669,0.5500331345261763,0.38163716814159293,2477,2477,8.748557434046234e-14
B4,logistic_regression,0.1,5,0.5,0.14046583331867202,0.4775938635446104,10.633028671331367,2.742827047914649,-0.3923424269201252,0.536779324055666,0.39601769911504425,2477,2477,5.551115123125783e-14
B4,logistic_regression,0.1,6,0.6,0.11237266665493761,0.47557529269277354,9.723507590743806,2.5103848457622044,-1.3018635075076865,0.5208747514910537,0.4081858407079646,2477,2477,1.3722356584366935e-13
B4,logistic_regression,0.1,7,0.7,0.08427949999120321,0.473960436011304,8.778319016799866,2.2932649952279567,-2.247052081451626,0.510934393638171,0.4269911504424779,2477,2477,-8.992806499463768e-14
B4,logistic_regression,0.1,8,0.8,0.05618633332746881,0.4719418651594671,7.60129173603949,2.0522994821052842,-3.4240793622120025,0.49105367793240556,0.43473451327433627,2477,2477,1.0880185641326534e-13
B4,logistic_regression,0.1,9,0.9,0.028093166663734404,0.4691158659668954,6.584768175382799,1.866431920210013,-4.440602922868693,0.4731610337972167,0.44579646017699115,2477,2477,-1.467714838554457e-13
B4,logistic_regression,0.1,10,1.0,0.0,0.46628986677432377,5.461242134656986,1.6813057012304784,-5.564128963594506,0.45593108018555334,0.4557522123893805,2477,2477,-1.1834977442504169e-13
B4,gradient_boosting,0.1,0,0.0,0.2780514552801187,0.5010092854259185,16.14297786862367,5.007957374103368,5.117606770372179,0.6010603048376408,0.3230088495575221,2477,2477,-5.3734794391857577e-14
B4,gradient_boosting,0.1,1,0.10000000000000009,0.2502463097521068,0.49939442874444895,14.591441907621356,4.1705507559673665,3.5660708093698634,0.588469184890656,0.33738938053097345,2477,2477,5.995204332975845e-14
