task,variant,block,model,K,group_a,group_b,n_a,n_b,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
D1,K20_global,B4,logistic_regression,0.2,White,Black_Pardo,8904,15145,9.79017001569435,8.62450432358421,10.9475459150939,amplification,False,3.539203307059387,3.3444813776160642,3.7237169140407693,26.574032629178795,16.783862613484445
D1,K20_local,B4,gradient_boosting,0.2,White,Black_Pardo,8904,15145,8.156625071152565,7.009429716840235,9.320014418868581,amplification,False,3.294437025362894,3.133559508157652,3.459370590822574,24.95171859209433,16.795093520941766
D1,K20_global,B4,gradient_boosting,0.2,White,Black_Pardo,8904,15145,8.198277685280683,7.0468292133811605,9.360099451928749,amplification,False,3.2847494856569917,3.1244693451568373,3.4512213718633973,24.982140298765128,16.783862613484445
D1,K20_local,B5,logistic_regression,0.2,White,Black_Pardo,8904,15145,5.198197893557843,4.010424592075942,6.352048329905852,amplification,False,2.8392512339734766,2.686895063639653,2.985457762592455,21.99329141449961,16.795093520941766
D1,K20_global,B5,logistic_regression,0.2,White,Black_Pardo,8904,15145,5.262312322600607,4.069682756712076,6.411149432396093,amplification,False,2.834556700038506,2.682559065113338,2.98212386857732,22.046174936085052,16.783862613484445
D1,K20_local,B5,gradient_boosting,0.2,White,Black_Pardo,8904,15145,5.017885655791563,3.965228921414645,6.092843694688991,amplification,False,2.8121643973210433,2.6743356917576024,2.961188294816437,21.81297917673333,16.795093520941766
D1,K20_global,B5,gradient_boosting,0.2,White,Black_Pardo,8904,15145,5.054231675415579,4.004824599847476,6.13063959146638,amplification,False,2.8112701971817677,2.6700500417083664,2.9575375917968616,21.838094288900024,16.783862613484445
D1,K20_local,B6,logistic_regression,0.2,White,Black_Pardo,8904,15145,9.747160349030946,8.54894196991229,10.920597817978177,amplification,False,3.5669376427888677,3.365474854927281,3.753748016075702,26.54225386997271,16.795093520941766
D1,K20_global,B6,logistic_regression,0.2,White,Black_Pardo,8904,15145,9.793441031395524,8.599620614829334,10.972756484412287,amplification,False,3.554018170696111,3.35471195152265,3.7451634735436516,26.57730364487997,16.783862613484445
D1,K20_local,B6,gradient_boosting,0.2,White,Black_Pardo,8904,15145,7.931389203556989,6.886995454541409,9.056485606196112,amplification,False,3.2572789684299797,3.0932054735298444,3.427884324301616,24.726482724498755,16.795093520941766
D1,K20_global,B6,gradient_boosting,0.2,White,Black_Pardo,8904,15145,7.922133067084076,6.866591706199163,9.058492783298442,amplification,False,3.2581309872191326,3.096648860696815,3.4309889141968886,24.70599568056852,16.783862613484445
D2,ufs_eng_computacao,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.5396594524864007,2.6383416061628866,4.426847285909762,amplification,False,4.053106125617306,3.695460721238686,4.4102600399643475,14.37348740551429,10.833827953027889
D2,ufs_eng_computacao,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.5594679701489973,2.638648129477347,4.423588765473736,amplification,False,4.070231926148083,3.7234327273936008,4.422005448804841,14.393295923176886,10.833827953027889
D2,ufs_eng_computacao,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.853418452414321,4.934779183822628,6.729973816301656,amplification,False,5.342411457223751,4.87008684904584,5.830636064370717,16.68724640544221,10.833827953027889
D2,ufs_eng_computacao,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.433986142343091,4.5241528469775725,6.347036912867143,amplification,False,5.085838216822447,4.653939587874588,5.554248423282876,16.26781409537098,10.833827953027889
D2,ufs_medicina,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.5865578533001,2.658034978288645,4.446105863594125,amplification,False,4.163484576220426,3.8076156296128336,4.526215241094906,14.60069804409427,11.014140190794171
D2,ufs_medicina,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.225933377767536,2.2944311421161796,4.132317627711993,amplification,False,3.9829310400534856,3.6659252154915296,4.310511031578571,14.240073568561707,11.014140190794171
D2,ufs_medicina,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.735863591155516,4.792470238280624,6.635042726391214,amplification,False,5.3662445314565925,4.888654443351525,5.858717658672108,16.750003781949687,11.014140190794171
D2,ufs_medicina,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.644720086780174,4.727085092681497,6.562989762484664,amplification,False,5.29078977727659,4.815559929329489,5.7564871586307005,16.658860277574345,11.014140190794171
